Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
65496,988.059,366.1841229,228.3916323,1.60331672,0.781658155,66356,288.7768987,0.7891845,0.987039605,0.843060777,0.788611195,0.005590939,0.001333878,0.621907617,0.99711488,0
39091,717.854,248.1300288,200.7329978,1.236119779,0.587831913,39454,223.0968557,0.745556149,0.990799412,0.95326664,0.899112682,0.006347498,0.002558814,0.808403616,0.999283698,3
71282,1025.671,399.7818559,230.8930193,1.731459258,0.816357068,71685,301.2624458,0.831296357,0.994378182,0.851478307,0.75356708,0.005608455,0.001115605,0.567863344,0.983232244,1
51617,904.819,367.369214,179.8615646,2.042510944,0.871950827,52444,256.3606943,0.623055103,0.984230799,0.792280926,0.697828464,0.007117214,0.001041081,0.486964565,0.994630454,2
49226,892.285,360.8226857,175.5796931,2.055036545,0.873619677,49991,250.3527308,0.692008154,0.984697246,0.776957435,0.693838666,0.007329921,0.001047884,0.481412094,0.989319446,2
44556,772.808,270.4781599,210.4505286,1.28523393,0.628179475,44972,238.1815718,0.775170062,0.9907498,0.937503377,0.88059447,0.006070522,0.002251695,0.77544662,0.996630307,3
44737,765.217,264.9758004,215.2640622,1.230933755,0.583112518,45101,238.6648644,0.785135135,0.991929226,0.960080176,0.900704382,0.005922968,0.00240463,0.811268383,0.998617637,3
61615,984.81,403.4973112,196.3074095,2.055435973,0.873672341,62494,280.0904399,0.814366905,0.98593465,0.798346484,0.694156893,0.006548686,0.000937917,0.481853792,0.990419619,2
79261,1080.206,419.318705,243.2069564,1.72412299,0.814612896,80793,317.6763125,0.827808414,0.981037961,0.853603606,0.757601101,0.005290353,0.001075045,0.573959428,0.989576646,1
48611,804.782,284.4975919,217.9497639,1.305335627,0.642737487,49059,248.7839374,0.74623131,0.990868138,0.94316551,0.874467639,0.005852535,0.002111051,0.764693651,0.998181867,3
34631,670.02,229.3367837,192.4014026,1.191970436,0.544213158,34953,209.9846629,0.760686201,0.990787629,0.969391848,0.915617022,0.006622297,0.002871071,0.838354531,0.999293816,3
67483,1025.448,387.6268835,224.9648721,1.723055159,0.814356849,69557,293.1245882,0.786606831,0.970182728,0.806449098,0.756202938,0.005744067,0.001158651,0.571842883,0.985316831,1
38945,718.24,241.8780857,205.2648012,1.178370984,0.528988202,39299,222.6798466,0.783917069,0.990992137,0.948685791,0.920628448,0.006210761,0.002752087,0.847556738,0.998736268,3
49730,883.827,365.6410472,174.0184193,2.101162903,0.879484828,50401,251.6310842,0.674725931,0.986686772,0.800007013,0.688191564,0.007352525,0.001017311,0.473607629,0.995126781,2
78075,1087.899,421.5209301,237.6859638,1.773436359,0.825858772,79019,315.2906238,0.77033507,0.988053506,0.828981239,0.747983318,0.005398923,0.001042448,0.559479044,0.992200478,1
59563,961.018,390.2450469,195.9734421,1.99131598,0.864762842,60387,275.3869405,0.785791557,0.986354679,0.810444694,0.705676966,0.006551803,0.001002223,0.49797998,0.991635492,2
58188,967.634,390.0822027,192.3134372,2.028366859,0.870025081,58986,272.1897548,0.610859158,0.986471366,0.780946089,0.697775374,0.006703826,0.000980314,0.486890472,0.987592498,2
71085,1049.342,383.9366687,236.9052898,1.620633584,0.78692973,72146,300.8458626,0.799426451,0.98529371,0.811248151,0.783582,0.005401093,0.001256028,0.61400075,0.995070236,0
